mwm 	13224
jwm 	9704
evilwm	3872
tinywm 	3720
dwm 	6288
lwm 	4164
wm2	5360
pekwm	12816
lesstinywm	3720
9wm	5288
icewm 	19948
twm 	7776
jwm	9716
aewm	9380
openbox	24760
fvwm 	19864
lxpanel	57356
fvwm95	4308
	
